date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:13	3660/3660	------	200	untouched ('OK')	image/svg+xml	etag:%22e4c-60401621fe600-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage/resources/images/NFCU_horizontal_sm_rev.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage/resources/images/NFCU_horizontal_sm_rev.svg	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	5264/5264	------	200	untouched ('OK')	image/svg+xml	etag:%221490-60401621fe600-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage/resources/images/NFCU_horizontal_rev.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage/resources/images/NFCU_horizontal_rev.svg	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	247/247	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:32:30%20GMT	https://www.navyfederal.org/Trident/	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/Trident/index.html	(from http://assets.adobedtm.com/launch-ENade6a82789f74a53a864dd294d952d3d.min.js)
01:46:13	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:32:30%20GMT	http://www.navyfederal.org/get.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/get.html	(from http://assets.adobedtm.com/launch-ENade6a82789f74a53a864dd294d952d3d.min.js)
01:46:13	45259/45259	------	200	untouched ('')	application/javascript	etag:%2209cc4613e1d91:0%22	http://bat.bing.com/bat.js	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/bat.bing.com/bat.js	(from http://assets.adobedtm.com/launch-ENade6a82789f74a53a864dd294d952d3d.min.js)
01:46:13	176514/176514	------	200	untouched ('OK')	text/css	etag:W/%222b182-2386f26fb1bdc0-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-fullWidth.lc-6467cfbdc6d1e04abbe6763e9ebc3476-lc.min.css	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-fullWidth.lc-6467cfbdc6d1e04abbe6763e9ebc3476-lc.min.css	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	63909/63909	------	200	untouched ('OK')	text/html	etag:%22f932-604e5725d8f33-gzip%22	https://www.navyfederal.org/branches-atms/atms.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/branches-atms/atms.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	72284/72284	------	200	untouched ('OK')	text/html	etag:%22119e9-604e559582d5d-gzip%22	https://www.navyfederal.org/services/mobile-online-banking/mobile-deposits.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/services/mobile-online-banking/mobile-deposits.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	61738/61738	------	200	untouched ('OK')	text/html	etag:W/%22f0b7-604e595532902-gzip%22	https://www.navyfederal.org/services/mobile-online-banking/bill-pay.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/services/mobile-online-banking/bill-pay.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	59655/59655	------	200	untouched ('OK')	text/html	etag:%22e894-604e5553ab922-gzip%22	https://www.navyfederal.org/checking-savings/checking/resources/checking-protection.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/resources/checking-protection.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	59192/59192	------	200	untouched ('OK')	text/html	etag:%22e6c5-604e55cf1a011-gzip%22	https://www.navyfederal.org/checking-savings/checking/resources/free-checks.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/resources/free-checks.html	(from https://www.navyfederal.org/checking-savings/checking.html)
